Id,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWin3,HTWin5,HTLoss3,HTLoss5,ATWin3,ATWin5,ATLoss3,ATLoss5,HTDG,ATDG,DiffPts,DiffFormPts,Journey,Med_HTDG,Med_ATDG,Med_DiffPts,Med_DiffFormPts,Med_HTP,Med_ATP,Med_HTGS,Med_ATGS,Med_HTGC,Med_ATGC,FTR_h_or_not,year,month,day
20,0,19,21,3,1,2,2,1,2,12,3,7,2,9,14,4,2,3,5,0,1,2.3,3.0,3.5,2.2,2.9,3.25,2223,27,20,19,19,14,16,23,28,2,0,1,0,1,2,2,2,1,0,238,19,6,9,0,0,0,0,0,0,0,0,5,3,-5,-3,18,0.2777777777777778,0.1666666666666666,-0.2777777777777778,-0.1666666666666666,1.2777777777777777,1.5555555555555556,1.0555555555555556,1.0555555555555556,0.7777777777777778,0.8888888888888888,0,2022,12,2
21,0,5,9,0,1,1,0,0,0,26,5,4,2,7,22,15,4,1,3,0,0,2.15,2.8,4.2,2.1,2.75,3.9,2223,38,34,17,11,18,13,22,21,1,2,2,0,1,0,2,1,0,0,21,20,7,6,0,0,0,0,0,0,0,0,-1,-2,1,1,18,-0.0555555555555555,-0.1111111111111111,0.0555555555555555,0.0555555555555555,1.2222222222222223,1.1666666666666667,0.9444444444444444,0.6111111111111112,1.0,0.7222222222222222,1,2022,11,30
22,0,0,14,0,1,1,0,1,1,13,9,5,2,14,18,8,4,3,5,2,0,2.7,3.0,2.8,2.6,2.95,2.65,2223,39,22,11,18,22,9,14,24,1,2,2,0,2,2,1,0,2,2,13,18,9,11,0,0,0,0,0,0,0,0,-11,9,-10,-2,17,-0.6470588235294118,0.5294117647058824,-0.5882352941176471,-0.1176470588235294,0.8235294117647058,1.411764705882353,0.6470588235294118,1.0588235294117647,1.2941176470588236,0.5294117647058824,1,2022,11,28
23,0,6,12,2,1,2,0,1,1,15,13,5,6,9,18,4,7,2,4,0,0,2.62,3.0,2.9,2.45,3.0,2.75,2223,24,26,17,18,13,14,25,26,1,1,2,2,2,1,0,2,2,0,181,21,10,7,0,0,0,0,0,0,0,0,4,4,-1,3,17,0.2352941176470588,0.2352941176470588,-0.0588235294117647,0.1764705882352941,1.4705882352941178,1.5294117647058822,1.0,1.0588235294117647,0.7647058823529411,0.8235294117647058,0,2022,11,27
24,0,4,3,1,1,0,1,1,0,11,13,3,2,10,10,5,11,3,3,0,0,3.6,3.2,2.15,3.1,3.1,2.15,2223,32,31,14,18,22,13,14,27,2,0,1,2,1,1,0,0,1,1,178,22,4,5,0,0,0,0,0,0,0,0,-8,5,-13,-1,17,-0.4705882352941176,0.2941176470588235,-0.7647058823529411,-0.0588235294117647,0.8235294117647058,1.588235294117647,0.8235294117647058,1.0588235294117647,1.2941176470588236,0.7647058823529411,1,2022,11,27
25,0,10,19,1,0,2,0,0,0,12,3,2,1,16,10,6,4,6,2,0,1,2.55,3.0,3.0,2.45,2.87,2.9,2223,30,27,18,16,14,14,26,20,2,1,1,1,0,2,1,1,1,0,184,23,4,4,0,0,0,0,0,0,0,0,4,2,6,0,17,0.2352941176470588,0.1176470588235294,0.3529411764705882,0.0,1.5294117647058822,1.1764705882352942,1.0588235294117647,0.9411764705882352,0.8235294117647058,0.8235294117647058,0,2022,11,27
26,0,1,16,2,2,0,0,0,0,11,11,3,5,4,10,5,5,3,2,0,0,2.6,3.0,3.0,2.45,2.85,2.9,2223,23,41,17,14,9,16,29,20,2,1,0,2,0,2,0,1,0,0,45,24,7,7,0,0,0,0,0,0,0,0,8,-2,9,0,17,0.4705882352941176,-0.1176470588235294,0.5294117647058824,0.0,1.7058823529411764,1.1764705882352942,1.0,0.8235294117647058,0.5294117647058824,0.9411764705882352,1,2022,11,27
27,0,20,5,3,1,2,1,0,2,10,3,7,1,22,14,5,1,4,2,0,0,1.85,3.2,5.0,1.8,3.25,4.33,2223,29,38,16,17,10,16,28,22,0,2,2,1,0,2,2,0,0,0,78,25,9,8,0,0,0,0,0,0,0,0,6,1,6,1,17,0.3529411764705882,0.0588235294117647,0.3529411764705882,0.0588235294117647,1.6470588235294117,1.2941176470588236,0.9411764705882352,1.0,0.5882352941176471,0.9411764705882352,0,2022,11,26
28,0,9,15,1,0,2,1,0,2,9,9,5,0,15,13,4,3,2,1,0,0,2.05,3.0,4.2,2.0,3.1,3.6,2223,34,25,10,19,13,20,18,19,0,1,0,0,1,1,0,2,1,0,66,26,3,5,0,0,0,0,0,0,0,0,-3,-1,-1,-2,17,-0.1764705882352941,-0.0588235294117647,-0.0588235294117647,-0.1176470588235294,1.0588235294117647,1.1176470588235294,0.5882352941176471,1.1176470588235294,0.7647058823529411,1.1764705882352942,0,2022,11,26
29,0,8,13,2,1,2,1,0,2,5,10,3,3,18,17,3,1,5,4,0,2,2.25,3.1,3.5,2.2,2.95,3.3,2223,21,36,17,9,22,10,19,18,2,1,1,2,1,0,0,1,2,0,162,27,7,5,0,0,0,0,0,0,0,0,-5,-1,1,2,17,-0.2941176470588235,-0.0588235294117647,0.0588235294117647,0.1176470588235294,1.1176470588235294,1.0588235294117647,1.0,0.5294117647058824,1.2941176470588236,0.5882352941176471,0,2022,11,26
