Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
267,Unai López,ESP,MF,Rayo Vallecano,27,1995,13,6,554,6.2,1,2,1,0,0,0,0,0.16,0.32,0.49,0.16,0.49,13,https://cdn.sofifa.net/players/notfound_0_60.png
268,Anthony Lozano,HON,FW,Cadiz,29,1993,12,8,756,8.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
269,Pol Lozano,ESP,MF,Espanyol,23,1999,4,0,17,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
270,José Luis Gayà,ESP,DF,Valencia,27,1995,10,10,862,9.6,0,2,0,0,1,1,0,0.0,0.21,0.21,0.0,0.21,17,https://cdn.sofifa.net/players/notfound_0_60.png
271,José Luis Morales,ESP,FW,Villarreal,35,1987,13,3,424,4.7,1,0,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,19,https://cdn.sofifa.net/players/notfound_0_60.png
272,Andriy Lunin,UKR,GK,Real Madrid,23,1999,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
273,Awer Mabil,AUS,"MF,FW",Cadiz,27,1995,5,1,165,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
274,Pablo Maffeo,ESP,DF,Mallorca,25,1997,12,12,1017,11.3,1,0,1,0,0,3,1,0.09,0.0,0.09,0.09,0.09,11,https://cdn.sofifa.net/players/notfound_0_60.png
275,Jon Magunacelaya,ESP,"MF,FW",Real Sociedad,22,2000,2,0,65,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
276,Nemanja Maksimović,SRB,MF,Getafe,27,1995,12,10,711,7.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
277,Hugo Mallo,ESP,DF,Celta Vigo,31,1991,11,11,873,9.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
278,Mickael Malsa,MTQ,MF,Valladolid,27,1995,4,0,39,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
279,Giorgi Mamardashvili,GEO,GK,Valencia,22,2000,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
280,Reinildo Mandava,MOZ,DF,Atletico Madrid,28,1994,14,14,1238,13.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
281,Aïssa Mandi,ALG,DF,Villarreal,31,1991,7,3,261,2.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
282,Maranhão,BRA,"FW,MF",Valencia,26,1996,11,3,370,4.1,1,0,1,0,0,2,1,0.24,0.0,0.24,0.24,0.24,17,https://cdn.sofifa.net/players/notfound_0_60.png
283,Marcão,BRA,DF,Sevilla,26,1996,4,4,360,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
284,Agustín Marchesín,ARG,GK,Celta Vigo,34,1988,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
285,Óscar de Marcos,ESP,DF,Athletic Club,33,1989,14,13,1078,12.0,0,3,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25,1,https://cdn.sofifa.net/players/notfound_0_60.png
286,José Mari,ESP,MF,Cadiz,35,1987,10,2,288,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
287,José María Giménez,URU,DF,Atletico Madrid,27,1995,9,8,735,8.2,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
288,Mariano,DOM,FW,Real Madrid,29,1993,4,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
289,Pablo Marín,ESP,"MF,FW",Real Sociedad,19,2003,3,1,106,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
290,Roger Martí,ESP,FW,Elche,31,1991,8,5,430,4.8,0,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,7,https://cdn.sofifa.net/players/notfound_0_60.png
291,Iván Martín,ESP,MF,Girona,23,1999,2,0,103,1.1,2,0,2,0,0,0,0,1.75,0.0,1.75,1.75,1.75,10,https://cdn.sofifa.net/players/notfound_0_60.png
292,Arnau Martinez,ESP,"DF,MF",Girona,19,2003,11,10,811,9.0,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,10,https://cdn.sofifa.net/players/notfound_0_60.png
293,Iñigo Martínez,ESP,DF,Athletic Club,31,1991,9,9,810,9.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
294,Omar Mascarell,ESP,MF,Elche,29,1993,12,12,1014,11.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
295,Jordi Masip,ESP,GK,Valladolid,33,1989,9,9,810,9.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
296,Jaime Mata,ESP,FW,Getafe,34,1988,6,0,42,0.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
297,Borja Mayoral,ESP,FW,Getafe,25,1997,14,14,1105,12.3,1,0,1,0,1,2,0,0.08,0.0,0.08,0.08,0.08,9,https://cdn.sofifa.net/players/notfound_0_60.png
298,Mamadou Mbaye,SEN,DF,Cadiz,24,1998,3,3,209,2.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
299,Gonzalo Melero,ESP,MF,Almeria,28,1994,8,7,536,6.0,1,2,1,0,0,2,0,0.17,0.34,0.5,0.17,0.5,0,https://cdn.sofifa.net/players/notfound_0_60.png
300,Memphis,NED,FW,Barcelona,28,1994,2,2,114,1.3,1,0,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79,3,https://cdn.sofifa.net/players/notfound_0_60.png
301,Houboulang Mendes,FRA,DF,Almeria,24,1998,7,6,498,5.5,0,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,0,https://cdn.sofifa.net/players/notfound_0_60.png
302,Brais Méndez,ESP,MF,Real Sociedad,25,1997,14,13,1121,12.5,6,2,6,0,0,4,0,0.48,0.16,0.64,0.48,0.64,15,https://cdn.sofifa.net/players/notfound_0_60.png
303,Ferland Mendy,FRA,DF,Real Madrid,27,1995,11,11,884,9.8,0,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,14,https://cdn.sofifa.net/players/notfound_0_60.png
304,Mikel Merino,ESP,MF,Real Sociedad,26,1996,14,13,1124,12.5,1,6,1,0,1,4,0,0.08,0.48,0.56,0.08,0.56,15,https://cdn.sofifa.net/players/notfound_0_60.png
305,Roque Mesa,ESP,MF,Valladolid,33,1989,12,11,862,9.6,2,1,2,0,0,4,0,0.21,0.1,0.31,0.21,0.31,18,https://cdn.sofifa.net/players/notfound_0_60.png
306,Éder Militão,BRA,DF,Real Madrid,24,1998,12,10,913,10.1,3,0,3,0,0,1,0,0.3,0.0,0.3,0.3,0.3,14,https://cdn.sofifa.net/players/notfound_0_60.png
307,Luis Milla,ESP,MF,Getafe,28,1994,8,7,650,7.2,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
308,Pere Milla,ESP,"FW,MF",Elche,30,1992,13,8,779,8.7,3,1,2,1,1,3,0,0.35,0.12,0.46,0.23,0.35,7,https://cdn.sofifa.net/players/notfound_0_60.png
309,Marko Milovanović,SRB,FW,Almeria,19,2003,2,0,15,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
310,Óscar Mingueza,ESP,DF,Celta Vigo,23,1999,10,4,478,5.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
311,Rafa Mir,ESP,FW,Sevilla,25,1997,9,7,559,6.2,2,0,2,0,0,1,0,0.32,0.0,0.32,0.32,0.32,16,https://cdn.sofifa.net/players/notfound_0_60.png
312,Juan Miranda,ESP,DF,Betis,22,2000,2,1,94,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
313,Stefan Mitrović,SRB,DF,Getafe,32,1990,13,11,1035,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
314,Luka Modrić,CRO,MF,Real Madrid,37,1985,13,11,926,10.3,3,2,2,1,1,3,0,0.29,0.19,0.49,0.19,0.39,14,https://cdn.sofifa.net/players/notfound_0_60.png
315,Johan Mojica,COL,DF,Villarreal,30,1992,5,1,186,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
316,Johan Mojica,COL,"DF,MF",Elche,30,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
317,Nahuel Molina,ARG,DF,Atletico Madrid,24,1998,11,11,924,10.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
318,Jon Moncayola,ESP,MF,Osasuna,24,1998,14,9,876,9.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
319,Monchu,ESP,MF,Valladolid,23,1999,12,7,659,7.3,1,1,1,0,0,4,0,0.14,0.14,0.27,0.14,0.27,18,https://cdn.sofifa.net/players/notfound_0_60.png
320,Gonzalo Montiel,ARG,DF,Sevilla,25,1997,8,8,585,6.5,0,1,0,0,0,3,1,0.0,0.15,0.15,0.0,0.15,16,https://cdn.sofifa.net/players/notfound_0_60.png
321,Martín Montoya,ESP,DF,Betis,31,1991,3,3,183,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
322,Álvaro Morata,ESP,FW,Atletico Madrid,30,1992,14,12,845,9.4,5,1,5,0,0,3,0,0.53,0.11,0.64,0.53,0.64,2,https://cdn.sofifa.net/players/notfound_0_60.png
323,Jon Morcillo,ESP,"FW,MF",Athletic Club,24,1998,8,0,56,0.6,0,1,0,0,0,0,0,0.0,1.61,1.61,0.0,1.61,1,https://cdn.sofifa.net/players/notfound_0_60.png
324,Alberto Moreno,ESP,"DF,FW",Villarreal,30,1992,6,4,368,4.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
325,Álex Moreno,ESP,DF,Betis,29,1993,13,13,1170,13.0,0,3,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,4,https://cdn.sofifa.net/players/notfound_0_60.png
326,Gerard Moreno,ESP,FW,Villarreal,30,1992,6,5,382,4.2,2,0,2,0,0,1,0,0.47,0.0,0.47,0.47,0.47,19,https://cdn.sofifa.net/players/notfound_0_60.png
327,Tete Morente,ESP,MF,Elche,26,1996,11,8,718,8.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
328,Ilaix Moriba,GUI,MF,Valencia,19,2003,6,4,331,3.7,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
329,Manu Morlanes,ESP,MF,Villarreal,23,1999,3,2,145,1.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
330,Loren Morón,ESP,FW,Betis,28,1993,2,0,15,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
331,Cristhian Mosquera,COL,DF,Valencia,18,2004,2,0,55,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
332,Abdul Mumin,GHA,DF,Rayo Vallecano,24,1998,2,1,102,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
333,Iker Muniain,ESP,"MF,FW",Athletic Club,29,1992,11,10,788,8.8,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,1,https://cdn.sofifa.net/players/notfound_0_60.png
334,Aihen Muñoz,ESP,DF,Real Sociedad,25,1997,9,8,666,7.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
335,Pablo Muñoz,ESP,MF,Rayo Vallecano,19,2003,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
336,Vedat Muriqi,KVX,FW,Mallorca,28,1994,12,12,1037,11.5,8,1,6,2,3,3,1,0.69,0.09,0.78,0.52,0.61,11,https://cdn.sofifa.net/players/notfound_0_60.png
337,Yunus Musah,USA,MF,Valencia,20,2002,11,10,846,9.4,0,2,0,0,0,5,0,0.0,0.21,0.21,0.0,0.21,17,https://cdn.sofifa.net/players/notfound_0_60.png
338,Nacho,ESP,DF,Real Madrid,32,1990,7,1,147,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
339,Juanjo Narváez,COL,"MF,FW",Valladolid,27,1995,5,1,148,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
340,Matija Nastasić,SRB,DF,Mallorca,29,1993,4,3,285,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
341,Roberto Navarro,ESP,"MF,DF",Real Sociedad,20,2002,8,0,155,1.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
342,Jesús Navas,ESP,"DF,FW",Sevilla,37,1985,11,6,626,7.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
343,Álvaro Negredo,ESP,FW,Cadiz,37,1985,10,5,410,4.6,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,5,https://cdn.sofifa.net/players/notfound_0_60.png
344,Tanguy Nianzou,FRA,DF,Sevilla,20,2002,10,8,640,7.1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
345,Saúl Ñíguez,ESP,"MF,DF",Atletico Madrid,28,1994,11,6,465,5.2,0,1,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19,2,https://cdn.sofifa.net/players/notfound_0_60.png
346,Diego Noguerol,ESP,"FW,DF",Valencia,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
347,Randy Ntekja,FRA,"FW,MF",Rayo Vallecano,25,1997,7,0,67,0.7,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
348,Unai Núñez,ESP,DF,Celta Vigo,25,1997,13,13,1170,13.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
349,Jan Oblak,SVN,GK,Atletico Madrid,29,1993,12,12,1052,11.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
350,Brian Ocampo,URU,"MF,FW",Cadiz,23,1999,10,7,560,6.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
351,Lucas Ocampos,ARG,"FW,MF",Sevilla,28,1994,3,1,132,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
352,Lucas Olaza,URU,DF,Valladolid,28,1994,9,6,641,7.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
353,Brian Oliván,ESP,DF,Espanyol,28,1994,14,14,1209,13.4,0,3,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,8,https://cdn.sofifa.net/players/notfound_0_60.png
354,Lucas Oliveira Rosa,BRA,DF,Valladolid,22,2000,5,4,323,3.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
355,Aimar Oroz,ESP,"MF,FW",Osasuna,21,2001,12,9,774,8.6,2,1,1,1,1,3,0,0.23,0.12,0.35,0.12,0.23,12,https://cdn.sofifa.net/players/notfound_0_60.png
356,Cenk Özkacar,TUR,DF,Valencia,22,2000,3,1,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
357,Fernando Pacheco,ESP,GK,Almeria,30,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
358,Jon Pacheco,ESP,DF,Real Sociedad,21,2001,9,7,678,7.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
359,Gonçalo Paciência,POR,"FW,MF",Celta Vigo,28,1994,10,3,331,3.7,1,0,1,0,0,1,1,0.27,0.0,0.27,0.27,0.27,6,https://cdn.sofifa.net/players/notfound_0_60.png
360,Helibelton Palacios,COL,DF,Elche,29,1993,9,8,705,7.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
361,Isaac Palazón Camacho,ESP,"FW,MF",Rayo Vallecano,27,1994,13,12,986,11.0,3,3,2,1,1,1,0,0.27,0.27,0.55,0.18,0.46,13,https://cdn.sofifa.net/players/notfound_0_60.png
362,Aitor Paredes,ESP,DF,Athletic Club,22,2000,3,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
363,Daniel Parejo,ESP,MF,Villarreal,33,1989,14,14,1227,13.6,0,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,19,https://cdn.sofifa.net/players/notfound_0_60.png
364,Moises Parra Gutierrez,ESP,FW,Getafe,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
365,Javier Pastore,ARG,MF,Elche,33,1989,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
366,Gabriel Paulista,BRA,DF,Valencia,32,1990,10,7,579,6.4,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,17,https://cdn.sofifa.net/players/notfound_0_60.png
367,Alfonso Pedraza,ESP,DF,Villarreal,26,1996,10,10,805,8.9,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,19,https://cdn.sofifa.net/players/notfound_0_60.png
368,Pedri,ESP,MF,Barcelona,20,2002,14,12,1025,11.4,3,0,3,0,0,0,0,0.26,0.0,0.26,0.26,0.26,3,https://cdn.sofifa.net/players/notfound_0_60.png
369,Rubén Peña,ESP,"DF,MF",Osasuna,31,1991,10,6,563,6.3,0,1,0,0,0,1,1,0.0,0.16,0.16,0.0,0.16,12,https://cdn.sofifa.net/players/notfound_0_60.png
370,Alberto Perea,ESP,MF,Cadiz,31,1990,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
371,Carles Pérez,ESP,"FW,MF",Celta Vigo,24,1998,14,7,599,6.7,0,2,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,6,https://cdn.sofifa.net/players/notfound_0_60.png
372,Francisco Perez,ESP,"FW,DF",Valencia,20,2002,2,0,21,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
373,Kike Pérez,ESP,MF,Valladolid,25,1997,13,11,966,10.7,0,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,18,https://cdn.sofifa.net/players/notfound_0_60.png
374,Lucas Pérez,ESP,FW,Cadiz,34,1988,13,5,593,6.6,2,0,2,0,0,3,0,0.3,0.0,0.3,0.3,0.3,5,https://cdn.sofifa.net/players/notfound_0_60.png
375,Luis Pérez,ESP,DF,Valladolid,27,1995,5,5,387,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
376,Germán Pezzella,ARG,DF,Betis,31,1991,12,10,911,10.1,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
377,Yeremi Pino,ESP,"MF,FW",Villarreal,20,2002,13,9,697,7.7,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,19,https://cdn.sofifa.net/players/notfound_0_60.png
378,Gerard Piqué,ESP,DF,Barcelona,35,1987,6,4,384,4.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
379,Óscar Plano,ESP,"FW,MF",Valladolid,31,1991,14,8,829,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,18,https://cdn.sofifa.net/players/notfound_0_60.png
380,Gonzalo Plata,ECU,"FW,MF",Valladolid,22,2000,10,6,592,6.6,0,2,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,18,https://cdn.sofifa.net/players/notfound_0_60.png
381,Ezequiel Ponce,ARG,FW,Elche,25,1997,13,4,512,5.7,2,0,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,7,https://cdn.sofifa.net/players/notfound_0_60.png
382,Francisco Portillo,ESP,"MF,FW",Almeria,32,1990,10,1,201,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
383,Portu,ESP,"MF,DF",Getafe,30,1992,11,3,384,4.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
384,José Pozo,ESP,MF,Rayo Vallecano,26,1996,6,1,75,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
385,Alejandro Pozo Pozo,ESP,DF,Almeria,23,1999,10,6,580,6.4,0,1,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16,0,https://cdn.sofifa.net/players/notfound_0_60.png
386,Abdón Prats,ESP,"FW,MF",Mallorca,30,1992,10,1,137,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
387,Javi Puado,ESP,"FW,MF",Espanyol,24,1998,13,8,749,8.3,1,0,1,0,0,0,0,0.12,0.0,0.12,0.12,0.12,8,https://cdn.sofifa.net/players/notfound_0_60.png
388,Arnau Puigmal,ESP,"MF,DF",Almeria,21,2001,7,1,241,2.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
389,Domingos Quina,POR,MF,Elche,23,1999,9,2,268,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
390,Antonio Raillo,ESP,DF,Mallorca,31,1991,13,13,1170,13.0,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,11,https://cdn.sofifa.net/players/notfound_0_60.png
391,Predrag Rajković,SRB,GK,Mallorca,27,1995,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
392,Ivan Rakitić,CRO,MF,Sevilla,34,1988,11,6,525,5.8,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
393,Largie Ramazani,BEL,FW,Almeria,21,2001,14,9,799,8.9,2,0,2,0,0,4,0,0.23,0.0,0.23,0.23,0.23,0,https://cdn.sofifa.net/players/notfound_0_60.png
394,Raphinha,BRA,FW,Barcelona,26,1996,13,6,570,6.3,2,2,2,0,0,1,0,0.32,0.32,0.63,0.32,0.63,3,https://cdn.sofifa.net/players/notfound_0_60.png
395,Sergio Reguilón,ESP,DF,Atletico Madrid,25,1996,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
396,Reinier,BRA,"MF,FW",Girona,20,2002,7,3,313,3.5,1,0,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,10,https://cdn.sofifa.net/players/notfound_0_60.png
397,Karim Rekik,NED,DF,Sevilla,28,1994,7,6,423,4.7,1,1,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,16,https://cdn.sofifa.net/players/notfound_0_60.png
398,Álex Remiro,ESP,GK,Real Sociedad,27,1995,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
399,Alejandro Revuelta Montero,ESP,DF,Getafe,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
400,Chadi Riad,ESP,MF,Barcelona,19,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
401,Nico Ribaudo,ESP,"FW,MF",Espanyol,21,2001,9,3,178,2.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
402,Diego Rico,ESP,DF,Real Sociedad,29,1993,7,6,594,6.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
403,Rodrigo Riquelme,ESP,"MF,FW",Girona,22,2000,13,9,796,8.8,3,0,3,0,0,0,0,0.34,0.0,0.34,0.34,0.34,10,https://cdn.sofifa.net/players/notfound_0_60.png
