Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
46,Bebé,CPV,FW,Rayo Vallecano,32,1990,4,0,60,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
47,Héctor Bellerín,ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
48,Fran Beltrán,ESP,MF,Celta Vigo,23,1999,14,13,1123,12.5,0,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,6,https://cdn.sofifa.net/players/notfound_0_60.png
49,Karim Benzema,FRA,FW,Real Madrid,34,1987,7,7,627,7.0,5,1,4,1,2,0,0,0.72,0.14,0.86,0.57,0.72,14,https://cdn.sofifa.net/players/notfound_0_60.png
50,Yuri Berchiche,ESP,DF,Athletic Club,32,1990,6,5,440,4.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
51,Álex Berenguer,ESP,FW,Athletic Club,27,1995,13,12,1026,11.4,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35,1,https://cdn.sofifa.net/players/notfound_0_60.png
52,Pedro Bigas,ESP,DF,Elche,32,1990,13,12,969,10.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
53,El Bilal Touré,MLI,FW,Almeria,21,2001,8,7,568,6.3,3,1,3,0,0,0,0,0.48,0.16,0.63,0.48,0.63,0,https://cdn.sofifa.net/players/notfound_0_60.png
54,Blanco,ESP,MF,Cadiz,22,2000,3,2,158,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
55,Theo Bongonda,COD,MF,Cadiz,27,1995,9,5,446,5.0,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,5,https://cdn.sofifa.net/players/notfound_0_60.png
56,Wassim Boullif,ESP,"DF,MF",Espanyol,17,2005,3,0,69,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
57,Yassine Bounou,MAR,GK,Sevilla,31,1991,12,12,1035,11.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
58,Lucas Boyé,ARG,FW,Elche,26,1996,12,9,730,8.1,1,2,1,0,1,2,1,0.12,0.25,0.37,0.12,0.37,7,https://cdn.sofifa.net/players/notfound_0_60.png
59,Martin Braithwaite,DEN,"FW,MF",Espanyol,31,1991,9,9,699,7.8,3,1,3,0,0,2,1,0.39,0.13,0.52,0.39,0.52,8,https://cdn.sofifa.net/players/notfound_0_60.png
60,Juan Brandáriz,ESP,DF,Almeria,23,1999,7,4,388,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
61,Darko Brašanac,SRB,MF,Osasuna,30,1992,12,4,485,5.4,1,1,1,0,0,3,0,0.19,0.19,0.37,0.19,0.37,12,https://cdn.sofifa.net/players/notfound_0_60.png
62,Claudio Bravo,CHI,GK,Betis,39,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
