Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam
50,SP1,2022-11-09,Almeria,Getafe,1,0,H,1,0,H,8,11,3,3,17,8,7,6,8,4,1,0,2.15,3.3,3.5,2.15,3.2,3.5,2223,0,9
51,SP1,2022-11-08,Athletic Club,Valladolid,3,0,H,1,0,H,19,8,6,0,20,6,10,2,3,1,0,0,1.4,4.5,7.5,1.42,4.6,7.25,2223,1,18
52,SP1,2022-11-08,Elche,Girona,1,2,A,1,1,D,11,21,2,3,16,9,2,5,3,2,0,0,3.25,3.3,2.2,3.3,3.25,2.2,2223,7,10
53,SP1,2022-11-08,Osasuna,Barcelona,1,2,A,1,0,H,15,9,3,3,15,6,2,5,4,4,0,2,5.75,4.2,1.53,5.75,4.33,1.53,2223,12,3
54,SP1,2022-11-07,Rayo Vallecano,Real Madrid,3,2,H,2,2,D,15,16,7,2,22,11,4,5,4,5,0,0,4.75,4.2,1.65,5.0,4.1,1.63,2223,13,14
55,SP2,2022-11-07,Lugo,Cartagena,1,1,D,1,1,D,12,14,5,5,12,16,4,10,2,2,1,1,2.62,2.87,3.1,2.45,2.95,2.8,2223,32,24
56,SP1,2022-11-06,Betis,Sevilla,1,1,D,1,0,H,9,22,4,6,6,20,1,4,4,5,2,1,2.2,3.2,3.6,2.15,3.3,3.4,2223,4,16
57,SP2,2022-11-06,Las Palmas,Eibar,1,1,D,1,1,D,14,10,5,7,16,9,12,2,2,1,0,0,2.1,3.4,3.6,2.1,3.1,3.4,2223,29,26
58,SP2,2022-11-06,Malaga,Sporting Gijon,1,1,D,0,1,A,14,13,4,5,13,18,3,5,3,4,0,0,2.75,2.9,2.87,2.55,2.95,2.7,2223,33,37
59,SP2,2022-11-06,Oviedo,Granada,1,0,H,0,0,D,3,16,1,3,10,10,1,7,3,2,1,0,2.37,3.1,3.2,2.45,2.87,2.9,2223,34,27
60,SP2,2022-11-06,UD Ibiza,CD Mirandes,1,1,D,1,0,H,6,4,4,2,17,6,5,2,1,1,0,0,2.4,3.1,3.1,2.25,3.1,2.95,2223,39,25
61,SP1,2022-11-06,Atletico Madrid,Espanyol,1,1,D,0,0,D,27,6,7,2,13,10,12,2,3,5,0,1,1.44,4.5,8.0,1.44,4.33,7.5,2223,2,8
62,SP1,2022-11-06,Real Sociedad,Valencia,1,1,D,1,1,D,9,14,4,3,11,12,1,11,2,0,1,0,1.95,3.4,4.0,1.93,3.3,4.2,2223,15,17
63,SP1,2022-11-06,Villarreal,Mallorca,0,2,A,0,1,A,9,7,2,5,17,16,5,2,4,6,0,0,1.57,4.0,5.75,1.61,3.9,5.5,2223,19,11
64,SP2,2022-11-06,Albacete,Levante,2,3,A,1,1,D,12,13,2,3,13,11,4,1,4,4,0,0,2.45,3.2,3.0,2.35,3.0,2.9,2223,21,31
65,SP2,2022-11-05,Leganes,Ponferradina,2,1,H,2,1,H,8,16,3,2,18,15,7,7,2,3,1,0,1.7,3.5,5.75,1.66,3.4,5.0,2223,30,35
66,SP2,2022-11-05,Huesca,Villarreal B,1,0,H,1,0,H,7,10,3,4,15,9,0,7,3,3,0,0,1.83,3.4,5.0,1.83,3.3,4.0,2223,28,40
67,SP1,2022-11-05,Getafe,Cadiz,0,0,D,0,0,D,13,15,2,4,15,16,5,5,5,2,2,1,2.2,3.1,3.75,2.2,3.1,3.6,2223,9,5
68,SP1,2022-11-05,Valladolid,Elche,2,1,H,1,0,H,16,4,11,2,9,10,8,4,2,0,0,0,1.83,3.6,4.33,1.83,3.7,4.2,2223,18,7
69,SP1,2022-11-05,Celta Vigo,Osasuna,1,2,A,1,2,A,13,8,5,4,12,20,2,3,1,5,0,0,2.1,3.3,3.75,2.1,3.3,3.6,2223,6,12
70,SP1,2022-11-05,Barcelona,Almeria,2,0,H,0,0,D,27,4,13,1,14,13,9,1,2,1,0,0,1.08,10.0,26.0,1.1,11.0,26.0,2223,3,0
71,SP2,2022-11-05,Burgos,Tenerife,0,1,A,0,0,D,8,8,3,2,10,13,2,2,3,4,0,1,2.45,3.0,3.2,2.37,2.9,2.95,2223,23,38
72,SP2,2022-11-05,Andorra,Racing Sant,0,1,A,0,0,D,14,11,2,7,11,7,4,5,1,0,0,0,2.1,3.2,3.8,2.05,3.0,3.5,2223,22,36
73,SP1,2022-11-04,Girona,Athletic Club,2,1,H,0,0,D,19,11,10,7,11,11,7,1,1,1,0,0,3.75,3.5,2.0,3.8,3.5,1.98,2223,10,1
74,SP2,2022-11-04,Alaves,Zaragoza,1,0,H,0,0,D,9,13,4,4,10,19,6,6,3,2,1,0,2.1,3.1,4.0,2.05,2.85,3.75,2223,20,41
75,SP2,2022-11-03,Granada,Levante,0,0,D,0,0,D,16,4,3,1,14,12,8,1,1,6,0,0,2.45,3.1,3.1,2.3,3.0,3.0,2223,27,31
76,SP2,2022-11-03,Sporting Gijon,Albacete,2,2,D,1,1,D,17,10,6,5,10,14,6,2,3,4,0,0,2.15,3.25,3.6,2.1,3.2,3.25,2223,37,21
77,SP2,2022-11-03,Cartagena,Malaga,2,1,H,0,0,D,19,5,7,2,15,7,7,2,3,0,0,1,1.9,3.25,4.75,1.8,3.25,4.2,2223,24,33
